Timestamp,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,FPS (Video),FPS (Eval),Frames,Resolution,Duration
2025-08-12 12:31:43,An_emperor_penguin_with_a_red_backpack_is_carving_on_a_paved_road_next_to_a_snowy_mountain_0.1.mp4,An emperor penguin with a red backpack is carving on a paved road next to a snowy mountain,0.3117,21.0268,0.9794,0.6861,8,1,24,256x192,3.00 sec
2025-08-12 12:31:55,An_emperor_penguin_with_a_red_backpack_is_carving_on_a_paved_road_next_to_a_snowy_mountain_0.3.mp4,An emperor penguin with a red backpack is carving on a paved road next to a snowy mountain,0.3142,21.1811,0.9795,0.6827,8,1,24,256x192,3.00 sec
2025-08-12 12:32:10,An_emperor_penguin_with_a_red_backpack_is_carving_on_a_paved_road_next_to_a_snowy_mountain_0.5.mp4,An emperor penguin with a red backpack is carving on a paved road next to a snowy mountain,0.2876,19.5712,0.9729,0.7094,8,1,24,256x192,3.00 sec
2025-08-12 12:32:42,A_skater_with_a_red_backpack_is_carving_on_a_paved_road_in_front_of_Tokyo_Skytree_0.1.mp4,A skater with a red backpack is carving on a paved road in front of Tokyo Skytree,0.2952,20.1273,0.8993,0.6913,8,1,24,256x192,3.00 sec
2025-08-12 12:32:56,A_skater_with_a_red_backpack_is_carving_on_a_paved_road_in_front_of_Tokyo_Skytree_0.3.mp4,A skater with a red backpack is carving on a paved road in front of Tokyo Skytree,0.2718,19.8673,0.9575,0.7224,8,1,24,256x192,3.00 sec
2025-08-12 12:33:08,A_skater_with_a_red_backpack_is_carving_on_a_paved_road_in_front_of_Tokyo_Skytree_0.5.mp4,A skater with a red backpack is carving on a paved road in front of Tokyo Skytree,0.272,19.884,0.9212,0.7202,8,1,24,256x192,3.00 sec
2025-08-12 12:33:59,A_skater_with_a_red_backpack_is_handstand_walking_on_a_paved_road_next_to_a_snowy_mountain_0.1.mp4,A skater with a red backpack is handstand walking on a paved road next to a snowy mountain,0.339,19.9539,0.9715,0.6574,8,1,24,256x192,3.00 sec
2025-08-12 12:34:13,A_skater_with_a_red_backpack_is_handstand_walking_on_a_paved_road_next_to_a_snowy_mountain_0.3.mp4,A skater with a red backpack is handstand walking on a paved road next to a snowy mountain,0.3138,20.1097,0.8671,0.6729,8,1,24,256x192,3.00 sec
2025-08-12 12:34:29,A_skater_with_a_red_backpack_is_handstand_walking_on_a_paved_road_next_to_a_snowy_mountain_0.5.mp4,A skater with a red backpack is handstand walking on a paved road next to a snowy mountain,0.3516,19.8595,0.9376,0.6412,8,1,24,256x192,3.00 sec
