timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-13 03:56:50,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:50,1, 4, 81920, 0, 0
2025-08-13 03:56:51,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:51,1, 4, 81920, 0, 0
2025-08-13 03:56:52,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:52,1, 4, 81920, 0, 0
2025-08-13 03:56:53,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:53,1, 4, 81920, 0, 0
2025-08-13 03:56:55,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:55,1, 4, 81920, 0, 0
2025-08-13 03:56:56,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:56,1, 4, 81920, 0, 0
2025-08-13 03:56:57,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:57,1, 4, 81920, 0, 0
2025-08-13 03:56:58,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:58,1, 4, 81920, 0, 0
2025-08-13 03:56:59,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:56:59,1, 4, 81920, 0, 0
2025-08-13 03:57:00,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:00,1, 4, 81920, 0, 0
2025-08-13 03:57:01,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:01,1, 4, 81920, 0, 0
2025-08-13 03:57:02,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:02,1, 4, 81920, 0, 0
2025-08-13 03:57:03,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:03,1, 4, 81920, 0, 0
2025-08-13 03:57:04,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:04,1, 7, 81920, 0, 0
2025-08-13 03:57:05,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:05,1, 7, 81920, 0, 0
2025-08-13 03:57:07,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:07,1, 7, 81920, 0, 0
2025-08-13 03:57:08,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:08,1, 7, 81920, 0, 0
2025-08-13 03:57:09,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:09,1, 7, 81920, 0, 0
2025-08-13 03:57:10,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:10,1, 7, 81920, 0, 0
2025-08-13 03:57:11,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:11,1, 7, 81920, 0, 0
2025-08-13 03:57:12,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:12,1, 7, 81920, 0, 0
2025-08-13 03:57:13,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:13,1, 7, 81920, 0, 0
2025-08-13 03:57:14,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:14,1, 7, 81920, 0, 0
2025-08-13 03:57:15,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:15,1, 477, 81920, 0, 0
2025-08-13 03:57:16,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:16,1, 503, 81920, 0, 0
2025-08-13 03:57:18,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:18,1, 505, 81920, 0, 0
2025-08-13 03:57:19,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:19,1, 505, 81920, 0, 0
2025-08-13 03:57:20,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:20,1, 675, 81920, 27, 0
2025-08-13 03:57:21,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:21,1, 1571, 81920, 16, 0
2025-08-13 03:57:22,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:22,1, 3527, 81920, 0, 0
2025-08-13 03:57:23,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:23,1, 3527, 81920, 0, 0
2025-08-13 03:57:24,0, 3015, 81920, [N/A], [N/A]
2025-08-13 03:57:24,1, 3527, 81920, 0, 0
2025-08-13 03:57:25,0, 3015, 81920, [N/A], [N/A]
