timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-16 02:20:24,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:24,1, 4, 81920, 0, 0
2025-08-16 02:20:25,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:25,1, 4, 81920, 0, 0
2025-08-16 02:20:26,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:26,1, 4, 81920, 0, 0
2025-08-16 02:20:27,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:27,1, 4, 81920, 0, 0
2025-08-16 02:20:28,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:28,1, 4, 81920, 0, 0
2025-08-16 02:20:29,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:29,1, 4, 81920, 0, 0
2025-08-16 02:20:30,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:30,1, 4, 81920, 0, 0
2025-08-16 02:20:32,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:32,1, 4, 81920, 0, 0
2025-08-16 02:20:33,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:33,1, 4, 81920, 0, 0
2025-08-16 02:20:34,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:34,1, 4, 81920, 0, 0
2025-08-16 02:20:35,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:35,1, 4, 81920, 0, 0
2025-08-16 02:20:36,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:36,1, 4, 81920, 0, 0
2025-08-16 02:20:37,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:37,1, 7, 81920, 0, 0
2025-08-16 02:20:38,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:38,1, 7, 81920, 0, 0
2025-08-16 02:20:39,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:39,1, 7, 81920, 0, 0
2025-08-16 02:20:40,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:40,1, 7, 81920, 0, 0
2025-08-16 02:20:41,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:41,1, 7, 81920, 0, 0
2025-08-16 02:20:42,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:42,1, 7, 81920, 0, 0
2025-08-16 02:20:43,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:43,1, 7, 81920, 0, 0
2025-08-16 02:20:44,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:44,1, 7, 81920, 0, 0
2025-08-16 02:20:45,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:45,1, 7, 81920, 0, 0
2025-08-16 02:20:46,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:46,1, 7, 81920, 0, 0
2025-08-16 02:20:47,0, 2827, 81920, [N/A], [N/A]
2025-08-16 02:20:47,1, 7, 81920, 0, 0
