Timestamp,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,FPS (Video),FPS (Eval),Frames,Resolution,Duration
2025-08-12 11:18:51,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_0.1.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.3375,20.7466,0.9471,0.6551,8,1,24,256x192,3.00 sec
2025-08-12 11:19:05,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_0.3.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.3287,21.2953,0.9773,0.6683,8,1,24,256x192,3.00 sec
2025-08-12 11:19:21,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_0.5.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.3191,19.8599,0.9363,0.6723,8,1,24,256x192,3.00 sec
2025-08-12 11:19:42,A_strong_man_does_jumping_jacks_with_perfect_form_in_a_gym_0.1.mp4,A strong man does jumping jacks with perfect form in a gym,0.3184,19.6437,0.9302,0.6743,8,1,24,256x192,3.00 sec
2025-08-12 11:19:57,A_strong_man_does_jumping_jacks_with_perfect_form_in_a_gym_0.3.mp4,A strong man does jumping jacks with perfect form in a gym,0.3228,19.286,0.9362,0.6699,8,1,24,256x192,3.00 sec
2025-08-12 11:20:10,A_strong_man_does_jumping_jacks_with_perfect_form_in_a_gym_0.5.mp4,A strong man does jumping jacks with perfect form in a gym,0.3158,19.0872,0.9703,0.6801,8,1,24,256x192,3.00 sec
2025-08-12 11:20:46,A_strong_man_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_front_of_Buckingham_Palace_0.1.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in front of Buckingham Palace",0.3019,20.5832,0.9466,0.6913,8,1,24,256x192,3.00 sec
2025-08-12 11:21:09,A_strong_man_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_front_of_Buckingham_Palace_0.3.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in front of Buckingham Palace",0.2845,20.3702,0.9542,0.7101,8,1,24,256x192,3.00 sec
2025-08-12 11:21:25,A_strong_man_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_front_of_Buckingham_Palace_0.5.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in front of Buckingham Palace",0.2834,21.2817,0.9875,0.7152,8,1,24,256x192,3.00 sec
