timestamp,pid,process_name,used_mem_MiB
2025-08-12 23:16:39,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:39,3890153, python, 4256
2025-08-12 23:16:40,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:40,3890153, python, 4256
2025-08-12 23:16:41,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:41,3890153, python, 4256
2025-08-12 23:16:42,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:42,3890153, python, 4264
2025-08-12 23:16:43,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:43,3890153, python, 4266
2025-08-12 23:16:45,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:45,3890153, python, 4266
2025-08-12 23:16:46,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:46,3890153, python, 4292
2025-08-12 23:16:47,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:47,3890153, python, 8516
2025-08-12 23:16:48,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:48,3890153, python, 8516
2025-08-12 23:16:49,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:49,3890153, python, 8516
2025-08-12 23:16:50,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:50,3890153, python, 8518
2025-08-12 23:16:51,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:51,3890153, python, 8520
2025-08-12 23:16:52,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:52,3890153, python, 8522
2025-08-12 23:16:53,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:53,3890153, python, 8526
2025-08-12 23:16:54,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:54,3890153, python, 8528
2025-08-12 23:16:55,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
2025-08-12 23:16:55,3890153, python, 8530
2025-08-12 23:16:57,686798, /opt/software/pkgs/ansys/2024r1.1_rocky/ansys_inc/v2411/rocky/bin/RockySolver, 2932
