Timestamp,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,FPS (Video),FPS (Eval),Frames,Resolution,Duration
2025-08-11 19:54:48,A_focused_woman_carefully_applies_eyeliner_with_a_thin_brush_during_a_train_journey_0.1.mp4,A focused woman carefully applies eyeliner with a thin brush during a train journey,0.3072,19.6431,0.9541,0.6873,8,1,24,256x192,3.00 sec
2025-08-11 19:55:47,A_focused_woman_carefully_applies_eyeliner_with_a_thin_brush_during_a_train_journey_0.3.mp4,A focused woman carefully applies eyeliner with a thin brush during a train journey,0.2803,18.9778,0.9508,0.7142,8,1,24,256x192,3.00 sec
2025-08-11 19:56:10,A_focused_woman_carefully_applies_eyeliner_with_a_thin_brush_during_a_train_journey_0.5.mp4,A focused woman carefully applies eyeliner with a thin brush during a train journey,0.2801,19.2174,0.9616,0.7149,8,1,24,256x192,3.00 sec
2025-08-11 19:56:56,A_focused_woman_carefully_applies_face_cream_with_gentle_motions_in_her_bathroom_0.1.mp4,A focused woman carefully applies face cream with gentle motions in her bathroom,0.3078,18.7918,0.951,0.6858,8,1,24,256x192,3.00 sec
2025-08-11 19:57:24,A_focused_woman_carefully_applies_face_cream_with_gentle_motions_in_her_bathroom_0.3.mp4,A focused woman carefully applies face cream with gentle motions in her bathroom,0.3165,18.636,0.9531,0.6769,8,1,24,256x192,3.00 sec
2025-08-11 19:57:48,A_focused_woman_carefully_applies_face_cream_with_gentle_motions_in_her_bathroom_0.5.mp4,A focused woman carefully applies face cream with gentle motions in her bathroom,0.3153,18.0437,0.9508,0.6787,8,1,24,256x192,3.00 sec
2025-08-11 19:59:07,A_small_robot_carefully_applies_eyeliner_with_a_thin_brush_in_her_bathroom_0.1.mp4,A small robot carefully applies eyeliner with a thin brush in her bathroom,0.2651,19.6267,0.9629,0.7311,8,1,24,256x192,3.00 sec
2025-08-11 19:59:35,A_small_robot_carefully_applies_eyeliner_with_a_thin_brush_in_her_bathroom_0.3.mp4,A small robot carefully applies eyeliner with a thin brush in her bathroom,0.3206,19.9158,0.9886,0.6783,8,1,24,256x192,3.00 sec
2025-08-11 19:59:54,A_small_robot_carefully_applies_eyeliner_with_a_thin_brush_in_her_bathroom_0.5.mp4,A small robot carefully applies eyeliner with a thin brush in her bathroom,0.3285,20.07,0.9621,0.6663,8,1,24,256x192,3.00 sec
