timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-15 23:55:02,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:02,1, 4, 81920, 0, 0
2025-08-15 23:55:03,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:03,1, 4, 81920, 0, 0
2025-08-15 23:55:04,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:04,1, 4, 81920, 0, 0
2025-08-15 23:55:05,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:05,1, 4, 81920, 0, 0
2025-08-15 23:55:06,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:06,1, 4, 81920, 0, 0
2025-08-15 23:55:07,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:07,1, 4, 81920, 0, 0
2025-08-15 23:55:08,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:08,1, 4, 81920, 0, 0
2025-08-15 23:55:09,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:09,1, 4, 81920, 0, 0
2025-08-15 23:55:10,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:10,1, 4, 81920, 0, 0
2025-08-15 23:55:11,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:11,1, 4, 81920, 0, 0
2025-08-15 23:55:12,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:12,1, 4, 81920, 0, 0
2025-08-15 23:55:13,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:13,1, 4, 81920, 0, 0
2025-08-15 23:55:14,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:14,1, 4, 81920, 0, 0
2025-08-15 23:55:15,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:15,1, 7, 81920, 0, 0
2025-08-15 23:55:16,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:16,1, 7, 81920, 0, 0
2025-08-15 23:55:17,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:17,1, 7, 81920, 0, 0
2025-08-15 23:55:19,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:19,1, 7, 81920, 0, 0
2025-08-15 23:55:20,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:20,1, 7, 81920, 0, 0
2025-08-15 23:55:21,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:21,1, 7, 81920, 0, 0
2025-08-15 23:55:22,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:22,1, 7, 81920, 0, 0
2025-08-15 23:55:23,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:23,1, 7, 81920, 0, 0
2025-08-15 23:55:24,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:24,1, 7, 81920, 0, 0
2025-08-15 23:55:25,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:25,1, 7, 81920, 0, 0
2025-08-15 23:55:26,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:26,1, 7, 81920, 0, 0
2025-08-15 23:55:27,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:27,1, 503, 81920, 0, 0
2025-08-15 23:55:28,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:28,1, 503, 81920, 0, 0
2025-08-15 23:55:29,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:29,1, 505, 81920, 0, 0
2025-08-15 23:55:30,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:30,1, 505, 81920, 0, 0
2025-08-15 23:55:31,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:31,1, 675, 81920, 13, 0
2025-08-15 23:55:32,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:32,1, 2083, 81920, 39, 0
2025-08-15 23:55:33,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:33,1, 3527, 81920, 0, 0
2025-08-15 23:55:35,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:35,1, 3527, 81920, 0, 0
2025-08-15 23:55:36,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:36,1, 3527, 81920, 0, 0
2025-08-15 23:55:37,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:37,1, 3527, 81920, 0, 0
2025-08-15 23:55:38,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:38,1, 4257, 81920, 0, 0
2025-08-15 23:55:39,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:39,1, 4257, 81920, 0, 0
2025-08-15 23:55:40,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:40,1, 4257, 81920, 0, 0
2025-08-15 23:55:41,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:41,1, 4257, 81920, 0, 0
2025-08-15 23:55:42,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:42,1, 4257, 81920, 0, 0
2025-08-15 23:55:43,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:43,1, 4265, 81920, 0, 0
2025-08-15 23:55:44,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:44,1, 4265, 81920, 0, 0
2025-08-15 23:55:45,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:45,1, 4267, 81920, 0, 0
2025-08-15 23:55:46,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:46,1, 4267, 81920, 0, 0
2025-08-15 23:55:47,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:47,1, 8041, 81920, 48, 8
2025-08-15 23:55:48,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:48,1, 8041, 81920, 97, 56
2025-08-15 23:55:49,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:49,1, 8041, 81920, 100, 42
2025-08-15 23:55:50,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:50,1, 8043, 81920, 100, 48
2025-08-15 23:55:51,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:51,1, 8045, 81920, 100, 41
2025-08-15 23:55:52,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:52,1, 8047, 81920, 100, 50
2025-08-15 23:55:54,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:54,1, 8051, 81920, 97, 58
2025-08-15 23:55:55,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:55,1, 8053, 81920, 100, 46
2025-08-15 23:55:56,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:56,1, 8055, 81920, 97, 57
2025-08-15 23:55:57,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:57,1, 8057, 81920, 100, 43
2025-08-15 23:55:58,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:58,1, 8059, 81920, 100, 43
2025-08-15 23:55:59,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:55:59,1, 8063, 81920, 97, 56
2025-08-15 23:56:00,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:00,1, 8065, 81920, 97, 51
2025-08-15 23:56:01,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:01,1, 8067, 81920, 97, 56
2025-08-15 23:56:02,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:02,1, 8069, 81920, 100, 49
2025-08-15 23:56:03,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:03,1, 8071, 81920, 100, 40
2025-08-15 23:56:04,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:04,1, 8075, 81920, 97, 52
2025-08-15 23:56:05,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:05,1, 8077, 81920, 100, 39
2025-08-15 23:56:06,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:06,1, 8079, 81920, 97, 54
2025-08-15 23:56:07,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:07,1, 8081, 81920, 97, 57
2025-08-15 23:56:08,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:08,1, 8083, 81920, 100, 42
2025-08-15 23:56:09,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:09,1, 4217, 81920, 100, 44
2025-08-15 23:56:10,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:10,1, 7747, 81920, 13, 0
2025-08-15 23:56:11,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:11,1, 15623, 81920, 19, 4
2025-08-15 23:56:13,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:13,1, 16807, 81920, 100, 64
2025-08-15 23:56:14,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:14,1, 16947, 81920, 100, 58
2025-08-15 23:56:15,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:15,1, 16947, 81920, 100, 71
2025-08-15 23:56:16,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:16,1, 16947, 81920, 72, 36
2025-08-15 23:56:17,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:17,1, 16947, 81920, 100, 70
2025-08-15 23:56:18,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:18,1, 16947, 81920, 85, 49
2025-08-15 23:56:19,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:19,1, 16947, 81920, 76, 54
2025-08-15 23:56:20,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:20,1, 16947, 81920, 68, 37
2025-08-15 23:56:21,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:21,1, 16947, 81920, 100, 70
2025-08-15 23:56:22,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:22,1, 16947, 81920, 52, 23
2025-08-15 23:56:23,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:23,1, 16947, 81920, 79, 56
2025-08-15 23:56:24,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:24,1, 16947, 81920, 68, 37
2025-08-15 23:56:25,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:25,1, 16947, 81920, 100, 70
2025-08-15 23:56:26,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:26,1, 16947, 81920, 98, 69
2025-08-15 23:56:27,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:27,1, 16947, 81920, 47, 33
2025-08-15 23:56:28,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:28,1, 16947, 81920, 100, 67
2025-08-15 23:56:29,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:29,1, 16947, 81920, 15, 0
2025-08-15 23:56:31,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:31,1, 16947, 81920, 100, 69
2025-08-15 23:56:32,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:32,1, 16947, 81920, 7, 3
2025-08-15 23:56:33,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:33,1, 16947, 81920, 100, 63
2025-08-15 23:56:34,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:34,1, 16947, 81920, 56, 27
2025-08-15 23:56:35,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:35,1, 16947, 81920, 100, 55
2025-08-15 23:56:36,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:36,1, 16947, 81920, 82, 48
2025-08-15 23:56:37,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:37,1, 16947, 81920, 100, 59
2025-08-15 23:56:38,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:38,1, 16947, 81920, 100, 57
2025-08-15 23:56:39,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:39,1, 16947, 81920, 100, 53
2025-08-15 23:56:40,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:40,1, 16947, 81920, 91, 55
2025-08-15 23:56:41,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:41,1, 16947, 81920, 100, 56
2025-08-15 23:56:42,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:42,1, 16947, 81920, 100, 44
2025-08-15 23:56:43,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:43,1, 16947, 81920, 100, 40
2025-08-15 23:56:44,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:44,1, 16947, 81920, 100, 48
2025-08-15 23:56:45,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:45,1, 16947, 81920, 100, 46
2025-08-15 23:56:46,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:46,1, 16947, 81920, 100, 48
2025-08-15 23:56:47,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:47,1, 16947, 81920, 100, 44
2025-08-15 23:56:49,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:49,1, 16947, 81920, 100, 44
2025-08-15 23:56:50,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:50,1, 16947, 81920, 100, 39
2025-08-15 23:56:51,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:51,1, 16947, 81920, 100, 57
2025-08-15 23:56:52,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:52,1, 16947, 81920, 100, 53
2025-08-15 23:56:53,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:53,1, 16947, 81920, 100, 52
2025-08-15 23:56:54,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:54,1, 16947, 81920, 100, 46
2025-08-15 23:56:55,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:55,1, 16947, 81920, 100, 45
2025-08-15 23:56:56,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:56,1, 16947, 81920, 100, 66
2025-08-15 23:56:57,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:57,1, 16947, 81920, 100, 59
2025-08-15 23:56:58,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:58,1, 16947, 81920, 100, 59
2025-08-15 23:56:59,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:56:59,1, 16947, 81920, 100, 59
2025-08-15 23:57:00,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:00,1, 16947, 81920, 55, 39
2025-08-15 23:57:01,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:01,1, 16947, 81920, 100, 68
2025-08-15 23:57:02,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:02,1, 16947, 81920, 13, 0
2025-08-15 23:57:03,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:03,1, 16947, 81920, 100, 69
2025-08-15 23:57:04,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:04,1, 16947, 81920, 43, 14
2025-08-15 23:57:05,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:05,1, 16947, 81920, 100, 65
2025-08-15 23:57:06,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:06,1, 16947, 81920, 23, 3
2025-08-15 23:57:08,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:08,1, 16947, 81920, 100, 68
2025-08-15 23:57:09,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:09,1, 16947, 81920, 67, 37
2025-08-15 23:57:10,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:10,1, 16947, 81920, 100, 61
2025-08-15 23:57:11,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:11,1, 16947, 81920, 68, 35
2025-08-15 23:57:12,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:12,1, 16947, 81920, 100, 54
2025-08-15 23:57:13,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:13,1, 16947, 81920, 84, 50
2025-08-15 23:57:14,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:14,1, 16947, 81920, 100, 39
2025-08-15 23:57:15,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:15,1, 16947, 81920, 100, 47
2025-08-15 23:57:16,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:16,1, 16947, 81920, 100, 46
2025-08-15 23:57:17,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:17,1, 16947, 81920, 84, 50
2025-08-15 23:57:18,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:18,1, 16947, 81920, 100, 39
2025-08-15 23:57:19,0, 2827, 81920, [N/A], [N/A]
2025-08-15 23:57:19,1, 16947, 81920, 100, 43
